System_Name	ip	Tile(s)	Stream(s)	Use_OSC_In	Send_OSC_Out	Do_Render
RX-13	192.168.103.137	sync		0	1	0
RX-14	192.168.103.138	F2A01a, F2A02a		1	0	1
RX-15	192.168.103.139	F2A01b, F2A02b		1	0	1
RX-16	192.168.103.140	F2A01c, F2A02c		1	0	1
RX-17	192.168.103.141	F2A01d, F2A02d		1	0	1
RX-18	192.168.103.142	F2A03a, F2A04a		1	0	1
RX-19	192.168.103.143	F2A03b, F2A04b		1	0	1
RX-20	192.168.103.144	F2A03c, F2A04c		1	0	1
RX-21	192.168.103.145	F2A03d, F2A04d		1	0	1
RX-22	192.168.103.146	F2A05a, F2A06a		1	0	1
RX-23	192.168.103.147	F2A05b, F2A06b		1	0	1
RX-24	192.168.103.148	F2A05c, F2A06c		1	0	1
RX-25	192.168.103.149	F2A05d, F2A06d		1	0	1
RX-26	192.168.103.150	F2A07a		1	0	1
RX-27	192.168.103.151	F2A07b		1	0	1
RX-28	192.168.103.152	F2A07c		1	0	1
RX-29	192.168.103.153	F2A07d		1	0	1
RX-30	192.168.103.154	W2A00a, W2A01a		1	0	1
RX-31	192.168.103.155	W2A01b		1	0	1
RX-32	192.168.103.156	W2A01c		1	0	1
RX-33	192.168.103.157	W2A01d, W2A02a		1	0	1
RX-34	192.168.103.158	W2A03a, W2A03b		1	0	1
RX-35	192.168.103.159	W2A03c, W2A04a		1	0	1
RX-36	192.168.103.160	W2B01a		1	0	1
RX-37	192.168.103.161	W2B01b		1	0	1
RX-38	192.168.103.162	W2B01c		1	0	1
RX-39	192.168.103.163	W2B01d, W2B02a		1	0	1
RX-40	192.168.103.164	W2B02b, W2B03a		1	0	1
RX-41	192.168.103.165	W2B03b, W2B04a		1	0	1
RX-42	192.168.103.166	W2C00a, W2C01a		1	0	1
RX-43	192.168.103.167	W2C01b		1	0	1
RX-44	192.168.103.168	W2C01c		1	0	1
RX-45	192.168.103.169			1	0	1
